timestamp,load,pressure
2020-02-07 20:32:43:722445,-123.2608696,945
2020-02-07 20:32:43:932239,90.36007826,950
2020-02-07 20:32:44:140924,89.16691304,949
2020-02-07 20:32:44:349632,89.9114087,948
2020-02-07 20:32:44:558380,88.74782609,947
2020-02-07 20:32:44:767759,89.05844348,949
2020-02-07 20:32:44:976412,88.03784348,949
2020-02-07 20:32:45:184901,90.75451304,946
2020-02-07 20:32:45:393821,89.79307826,951
2020-02-07 20:32:45:602133,-123.2608696,948
2020-02-07 20:32:45:811001,89.36906087,951
2020-02-07 20:32:46:019937,91.41026087,949
2020-02-07 20:32:46:229630,89.65009565,945
2020-02-07 20:32:46:438768,88.7922,950
2020-02-07 20:32:46:647004,90.23188696,948
2020-02-07 20:32:46:855447,89.81773043,949
2020-02-07 20:32:47:065349,88.76754783,948
2020-02-07 20:32:47:272082,-123.2608696,948
2020-02-07 20:32:47:480943,88.44213913,949
2020-02-07 20:32:47:689544,89.59093043,950
2020-02-07 20:32:47:898330,88.54567826,954
2020-02-07 20:32:48:107768,88.35832174,910
2020-02-07 20:32:48:317141,91.44970435,883
2020-02-07 20:32:48:526505,89.17184348,819
2020-02-07 20:32:48:735103,90.46361739,735
2020-02-07 20:32:48:942212,-123.2608696,646
2020-02-07 20:32:49:455226,-123.2608696,497
2020-02-07 20:32:49:665151,89.0042087,454
2020-02-07 20:32:49:872073,-123.2608696,436
2020-02-07 20:32:50:080833,88.21533913,419
2020-02-07 20:32:50:289640,89.46273913,411
2020-02-07 20:32:50:499087,89.82266087,404
2020-02-07 20:32:50:707764,87.83076522,400
2020-02-07 20:32:50:916397,90.3650087,395
2020-02-07 20:32:51:124910,88.34846087,392
2020-02-07 20:32:51:333856,88.59991304,393
2020-02-07 20:32:51:542481,89.13733043,394
2020-02-07 20:32:51:751266,88.92532174,392
2020-02-07 20:32:51:970276,89.66488696,391
2020-02-07 20:32:52:178904,89.06337391,390
2020-02-07 20:32:52:388436,86.45517391,392
2020-02-07 20:32:52:599729,-123.2608696,391
2020-02-07 20:32:53:116185,-123.2608696,390
2020-02-07 20:32:53:324900,88.73303478,392
2020-02-07 20:32:53:533611,88.53581739,391
2020-02-07 20:32:56:654144,88.00333043,390
2020-02-07 20:32:56:862807,89.93606087,390
2020-02-07 20:32:57:071593,87.83076522,391
2020-02-07 20:32:57:280252,88.94011304,391
2020-02-07 20:32:57:489008,89.74870435,389
2020-02-07 20:32:57:698647,89.37892174,391
2020-02-07 20:32:57:908156,91.03061739,387
2020-02-07 20:32:58:118117,90.31077391,392
